编号,院系,课程信息,学分,教师,课类,班级,专业信息,选课人数,校督导,得分1,得分2,得分3,得分4,平均分
1,自动化学院,A2080580-软件技术基础,2.5,朱浩,必修,"081216|05,06,07,08",自动化与电气工程类,117,代晓丽,100,90,100,100,97.5
2,自动化学院,A2081090-控制系统开发技术(1)（工程软件基础）,3,耿道渠,选修,"089017|01,02",自动化专业卓越工程师班,60,代晓丽,90,90,100,100,95
3,传媒艺术学院,A2120350-电视艺术概论,3,姚磊,必修,129017|01,广播电视编导专业实验班,35,代晓丽,90,90,95,60,83.75
4,传媒艺术学院,A2121070-音乐基础,2,田鑫,选修,"120117|01,02",广播电视编导,62,代晓丽,100,100,85,80,91.25
5,软件工程学院,A2130010-编程基础（1）面向过程,4,梁战维,必修,"130017|09,10",软件工程,72,代晓丽,100,100,100,100,100
5,经济管理学院,A2030990-管理学A,3,杨万福,选修,"030317|01,02",经济学,,蒋青,100,100,100,80,95
6,经济管理学院,A2031730-运筹学,3,熊卫,必修,"030116|01,02,03",信息管理与信息系统,,蒋青,100,100,60,80,85
7,计算机科学与技术学院,A1040020-计算机科学导论,2,米建勋,必修,"049117|01,02;049217|01","计算机科学与技术专业卓越工程师班,信息安全专业卓越工程师班",,蒋青,90,100,80,80,87.5
8,计算机科学与技术学院,A2040190-C语言程序设计,4,张林,必修,"041217|05,06",计算机与智能科学类,,蒋青,100,100,100,80,95
9,计算机科学与技术学院,A2040470-数据结构,4.5,李智星,必修,"040116|01,02;040716|01,02","计算机科学与技术,空间信息与数字技术",,蒋青,100,100,100,80,95
24,理学院,A1110030-线性代数A,3,张平平,必修,"011417|05,06,07,08",通信与信息类,,蒋青,90,100,100,100,97.5
1,通信与信息工程学院,A1015020-现代通信技术,3,王丹,任选,"030216|02;030416|01,02","会计学,市场营销",114,马凌,70,50,75,20,53.75
2,通信与信息工程学院,A2010561-信号与系统D,3,郑丹玲 ,必修,"081216|07,08,09",自动化与电气工程类,92,马凌,100,90,100,60,87.5
3,光电工程学院/国际半导体学院,A2020390-数字与逻辑电路基础,3,杨浩澜,必修,"040116|05,06,07",计算机科学与技术,97,马凌,80,70,75,80,76.25
4,光电工程学院/国际半导体学院,A2020940-微电子学科基础,4,王慧倩,必修,"161116|03,04,05",集成电路工程类,93,马凌,100,90,100,60,87.5
14,生物信息学院,A2060720-医学化学,4,夏仕文,必修,"060117|01,02,03",生物医学工程,88,马凌,100,90,95,20,76.25
25,理学院,A1110230-复变函数,2,邓志颖,必修,"081216|05,06,07,08",自动化与电气工程类,114,马凌,100,90,100,80,92.5
10,外国语学院,A1050030-大学英语1,4,徐岚,必修,"040417|01,02,03;041217|01,02,03,04,05,06,07,08,09,10,11,12,13,14;111217|01,02,03,04,05","信息安全,计算机与智能科学类,数理科学与信息技术类",60（参考58）,张爱琳,90,100,100,60,87.5
11,外国语学院,A1050040-大学英语2,4,王红,必修,"080117|01,02,03,04;080217|01,02;080317|01,02,03,04;080517|01,02,03,04;080617|01,02;161117|01,02,03,04,05,06","自动化与电气工程类,集成电路工程类",,张爱琳,90,100,100,80,92.5
12,外国语学院,A1050080-高级口语,2,丁璇,选修,"030116|01,02,03;030216|01,02;030316|01,02;030416|01,02;030516|01,02;030616|01,02;030816|01,02;031316|01,02;039416|01,02;070116|01,02;070216|01","信息管理与信息系统,会计学,经济学等专业",,张爱琳,90,100,100,60,87.5
13,生物信息学院,A2060270-运动生理学,3,刘毅,必修,"090116|01,02",社会体育指导与管理,,张爱琳,80,90,70,80,80
32,国际学院,A2150020-西方社会与文化,2,Jeffery,选修,ZJ16|02,英语(中加),,张爱琳,90,100,100,80,92.5
33,国际学院,A2150060-英语视听说 1,2,Faith,必修,ZR17|02,软件工程（中外）,,张爱琳,90,100,100,80,92.5
20,体育学院,A2090430-网球,3,黄婧,选修,"090116|01,02",社会体育指导与管理,16,钱华欣,100,100,95,100,98.75
21,体育学院,A2090470-武术,3,邱斌,选修,"090116|01,02",社会体育指导与管理,18,钱华欣,100,100,95,100,98.75
32,先进制造工程学院,A2140080-工程图学与计算机绘图A,3,冯松,必修,"021117|05,06",电子工程类,64,钱华欣,100,100,100,100,100
33,先进制造工程学院,A2140370-工程技术基础(1)(工程图学与计算机绘图),3,杨美美,必修,"089017|01,02",自动化专业卓越工程师班,60,钱华欣,100,100,100,100,100
1,网络空间安全与信息法学院,a-民事诉讼法,3,陈飏,必修,7011602,法学,34,陈建国,80,70,80,90,80
2,网络空间安全与信息法学院,a-法理学,4,夏燕,必修,"071117|01,02",法学类,73,陈建国,70,60,65,80,68.75
3,网络空间安全与信息法学院,a-民事诉讼法,3,王志刚,必修,"070116|01,02",法学,62,陈建国,90,90,100,100,95
4,马克思主义学院,a-思想道德修养与法律基础,3,黄齐,必修,"011417|05,06,07,08",通信与信息类,127,陈建国,80,90,95,100,91.25
5,创新创业教育学院,a-大学生职业发展与就业指导1,1,周千淇,必修,"021116|01,03,05",电子工程类,87,陈建国,80,80,100,100,90
